"table_name","column_name","data_type","is_nullable","character_maximum_length","numeric_precision","numeric_scale","column_default"
"boards","id","uuid","NO","","","","uuid_generate_v4()"
"boards","name","text","NO","","","",""
"boards","created_at","timestamp with time zone","YES","","","","CURRENT_TIMESTAMP"
"boards","user_id","uuid","YES","","","",""
"cards","id","bigint","NO","","64","0","nextval('cards_id_seq'::regclass)"
"cards","title","text","NO","","","",""
"cards","list_id","bigint","NO","","64","0",""
"cards","description","text","YES","","","",""
"cards","priority","text","YES","","","",""
"cards","assignee","text","YES","","","",""
"cards","due_date","date","YES","","","",""
"cards","created_at","timestamp with time zone","YES","","","","CURRENT_TIMESTAMP"
"cards","updated_at","timestamp with time zone","YES","","","","CURRENT_TIMESTAMP"
"chat_histories","id","uuid","NO","","","","uuid_generate_v4()"
"chat_histories","user_id","uuid","YES","","","",""
"chat_histories","title","text","NO","","","",""
"chat_histories","created_at","timestamp with time zone","YES","","","","now()"
"chat_histories","updated_at","timestamp with time zone","YES","","","","now()"
"columns","id","uuid","NO","","","","uuid_generate_v4()"
"columns","name","text","NO","","","",""
"columns","position","integer","NO","","32","0",""
"columns","board_id","uuid","YES","","","",""
"notes","id","bigint","NO","","64","0","nextval('notes_id_seq'::regclass)"
"notes","title","text","YES","","","",""
"tasks","id","uuid","NO","","","","uuid_generate_v4()"
"tasks","title","text","NO","","","",""
"tasks","description","text","YES","","","",""
"tasks","status","text","NO","","","",""
"tasks","position","integer","NO","","32","0",""
"tasks","created_at","timestamp with time zone","NO","","","","timezone('utc'::text, now())"
"tasks","updated_at","timestamp with time zone","NO","","","","timezone('utc'::text, now())"
"tasks","board_id","uuid","YES","","","",""
"todos","id","bigint","NO","","64","0",""
"todos","text","text","NO","","","",""
"todos","completed","boolean","NO","","","","false"
"todos","created_at","timestamp with time zone","NO","","","","timezone('utc'::text, now())"
"user_settings","id","uuid","NO","","","","uuid_generate_v4()"
"user_settings","user_id","uuid","YES","","","",""
"user_settings","theme","text","YES","","","","'light'::text"
"user_settings","language","text","YES","","","","'en'::text"
"user_settings","notifications_enabled","boolean","YES","","","","true"
"user_settings","created_at","timestamp with time zone","YES","","","","CURRENT_TIMESTAMP"
"user_settings","updated_at","timestamp with time zone","YES","","","","CURRENT_TIMESTAMP"
"user_settings","anthropic_api_key","text","YES","","","",""
"user_settings","mistral_api_key","text","YES","","","",""
"user_settings","gemini_api_key","text","YES","","","",""
"user_settings","ollama_api_key","text","YES","","","",""
"users","id","uuid","NO","","","","uuid_generate_v4()"
"users","email","text","NO","","","",""
"users","full_name","text","YES","","","",""
"users","initials","text","YES","","","",""
"users","avatar_url","text","YES","","","",""
"users","created_at","timestamp with time zone","YES","","","","CURRENT_TIMESTAMP"
"users","is_active","boolean","YES","","","","true"
